"Suelo","Cobertura","Pendiente","Precipitación","Estado dominante","Tendencia funcional","Soporte pendiente","Soporte precipitación","Soporte causal","P(Infiltración baja)","P(Infiltración media)","P(Infiltración alta)","Suma","Regla aplicada"
"suelo_infiltracion_baja","antropica","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_baja","antropica","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_salino","forestal_conservada","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_salino","forestal_conservada","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_salino","forestal_conservada","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_salino","forestal_conservada","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_salino","forestal_conservada","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_salino","forestal_conservada","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_salino","forestal_conservada","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_salino","forestal_conservada","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_salino","forestal_conservada","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_salino","forestal_secundaria","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_salino","forestal_secundaria","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_salino","forestal_secundaria","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_salino","forestal_secundaria","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_salino","forestal_secundaria","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_salino","forestal_secundaria","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_salino","forestal_secundaria","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_salino","forestal_secundaria","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_salino","forestal_secundaria","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_salino","hidrofila_humedal","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_salino","hidrofila_humedal","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_salino","hidrofila_humedal","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_salino","hidrofila_humedal","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_salino","hidrofila_humedal","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_salino","hidrofila_humedal","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_salino","hidrofila_humedal","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_salino","hidrofila_humedal","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_salino","hidrofila_humedal","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_salino","agropecuaria","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_salino","agropecuaria","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_salino","agropecuaria","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_salino","agropecuaria","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_salino","agropecuaria","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_salino","agropecuaria","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_salino","agropecuaria","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_salino","agropecuaria","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_salino","agropecuaria","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_salino","antropica","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_salino","antropica","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_salino","antropica","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_salino","antropica","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_salino","antropica","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_salino","antropica","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_salino","antropica","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_salino","antropica","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_salino","antropica","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
